matrix_code,department_code,section,submitter_role_code,checked1_role_code,approval1_role_code,approval2_role_code,approval3_role_code,checked2_role_code,approval4_role_code,priority,active,note
PPC-STAFF-6STAGE,PPC,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,101,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
PROD-STAFF-6STAGE,PROD,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,102,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
QA-STAFF-6STAGE,QA,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,103,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
ENG-STAFF-6STAGE,ENG,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,104,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
MTN-STAFF-6STAGE,MTN,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,105,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
WHS-STAFF-6STAGE,WHS,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,106,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
MCL-STAFF-6STAGE,MCL,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,107,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
PUR-STAFF-6STAGE,PUR,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,108,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
HRGA-STAFF-6STAGE,HRGA,*,STAFF,LEADER,ASSMAN,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,109,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
MGMT-STAFF-6STAGE,MGMT,*,STAFF,PLANT_MANAGER,GENERAL_MANAGER,BOD_KI,BOD_BEI,PLANT_MANAGER,GENERAL_MANAGER,110,True,Correlated demo route: Checked 1 → Approval 1 → Approval 2 → Approval 3 → Checked 2 → Approval 4
