form_no,approval_state
DEMO-KPI-202607-008,APPROVED_BOD_BEI
DEMO-KPI-202607-009,APPROVED_BOD_BEI
DEMO-KPI-202607-010,APPROVED_BOD_BEI
DEMO-KPI-202607-013,APPROVED_BOD_BEI
DEMO-KPI-202607-014,APPROVED_BOD_BEI
DEMO-KPI-202607-015,APPROVED_BOD_BEI
DEMO-KPI-202607-018,APPROVED_BOD_BEI
DEMO-KPI-202607-019,APPROVED_BOD_BEI
DEMO-KPI-202607-020,APPROVED_BOD_BEI
DEMO-KPI-202607-023,APPROVED_BOD_BEI
DEMO-KPI-202607-024,APPROVED_BOD_BEI
DEMO-KPI-202607-025,APPROVED_BOD_BEI
DEMO-KPI-202607-028,CHECKED1
DEMO-KPI-202607-029,CHECKED1
DEMO-KPI-202607-030,APPROVAL1
DEMO-KPI-202607-033,APPROVAL1
DEMO-KPI-202607-034,APPROVAL3
DEMO-KPI-202607-035,APPROVAL3
DEMO-KPI-202607-038,SUBMITTED
DEMO-KPI-202607-039,SUBMITTED
